date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2023-10-23,29992.46,29992.46,34741.91,34741.91,29883.6,29883.6,33069.99,33069.99,93513.64246,93513.64246
2023-10-22,29909.8,29909.8,30248.0,30248.0,29640.0,29640.0,29992.46,29992.46,22852.54563,22852.54563
2023-10-21,29669.05,29669.05,30379.99,30379.99,29464.77,29464.77,29909.8,29909.8,27517.51897,27517.51897
2023-10-20,28713.71,28713.71,30207.55,30207.55,28578.29,28578.29,29669.04,29669.04,59422.0992,59422.0992
2023-10-19,28320.0,28320.0,28916.89,28916.89,28100.66,28100.66,28713.71,28713.71,35895.50179,35895.50179
2023-10-18,28395.91,28395.91,28982.36,28982.36,28142.87,28142.87,28320.0,28320.0,32162.47591,32162.47591
2023-10-17,28500.77,28500.77,28613.65,28613.65,28069.32,28069.32,28395.91,28395.91,38428.44532,38428.44532
2023-10-16,27154.14,27154.14,30000.0,30000.0,27112.66,27112.66,28500.78,28500.78,78399.22445,78399.22445
2023-10-15,26852.48,26852.48,27293.33,27293.33,26808.25,26808.25,27154.15,27154.15,15274.6917,15274.6917
2023-10-14,26862.0,26862.0,26989.58,26989.58,26789.0,26789.0,26852.48,26852.48,10417.25576,10417.25576
2023-10-13,26759.63,26759.63,27130.0,27130.0,26685.0,26685.0,26862.0,26862.0,24115.76499,24115.76499
2023-10-12,26875.52,26875.52,26947.04,26947.04,26555.0,26555.0,26759.63,26759.63,23428.64112,23428.64112
2023-10-11,27390.12,27390.12,27477.39,27477.39,26538.66,26538.66,26875.52,26875.52,37349.44706,37349.44706
2023-10-10,27590.12,27590.12,27735.0,27735.0,27298.0,27298.0,27390.12,27390.12,22776.84383,22776.84383
2023-10-09,27917.06,27917.06,27987.93,27987.93,27260.0,27260.0,27590.12,27590.12,31534.74639,31534.74639
2023-10-08,27956.67,27956.67,28095.14,28095.14,27687.5,27687.5,27917.05,27917.05,19693.56921,19693.56921
2023-10-07,27931.1,27931.1,28029.67,28029.67,27842.08,27842.08,27956.67,27956.67,13348.83825,13348.83825
2023-10-06,27410.39,27410.39,28295.0,28295.0,27175.94,27175.94,27931.09,27931.09,37983.24277,37983.24277
2023-10-05,27778.57,27778.57,28120.39,28120.39,27352.0,27352.0,27410.39,27410.39,30681.49619,30681.49619
2023-10-04,27426.45,27426.45,27839.72,27839.72,27202.0,27202.0,27778.57,27778.57,29816.142,29816.142
2023-10-03,27494.51,27494.51,27676.52,27676.52,27160.5,27160.5,27426.46,27426.46,28928.96555,28928.96555
2023-10-02,27992.58,27992.58,28580.0,28580.0,27281.44,27281.44,27494.51,27494.51,57071.14241,57071.14241
2023-10-01,26962.57,26962.57,28065.51,28065.51,26954.09,26954.09,27992.57,27992.57,24602.81468,24602.81468
2023-09-30,26906.96,26906.96,27094.99,27094.99,26886.31,26886.31,26962.56,26962.56,12804.62307,12804.62307
2023-09-29,27021.39,27021.39,27244.89,27244.89,26665.16,26665.16,26906.96,26906.96,28478.76219,28478.76219
2023-09-28,26373.0,26373.0,27308.48,27308.48,26342.4,26342.4,27021.39,27021.39,44517.83491,44517.83491
2023-09-27,26221.68,26221.68,26850.0,26850.0,26112.06,26112.06,26372.99,26372.99,34771.57978,34771.57978
2023-09-26,26304.8,26304.8,26397.46,26397.46,26088.34,26088.34,26221.67,26221.67,18495.35066,18495.35066
2023-09-25,26248.39,26248.39,26446.15,26446.15,25990.46,25990.46,26304.81,26304.81,26266.2039,26266.2039
2023-09-24,26575.97,26575.97,26738.54,26738.54,26122.08,26122.08,26248.38,26248.38,15706.65771,15706.65771
2023-09-23,26580.14,26580.14,26632.81,26632.81,26509.0,26509.0,26575.96,26575.96,9440.7026,9440.7026
2023-09-22,26568.08,26568.08,26743.38,26743.38,26468.77,26468.77,26580.14,26580.14,18198.2292,18198.2292
2023-09-21,27125.01,27125.01,27159.6,27159.6,26377.7,26377.7,26568.08,26568.08,34476.82662,34476.82662
2023-09-20,27210.25,27210.25,27388.63,27388.63,26800.0,26800.0,27125.0,27125.0,34207.21867,34207.21867
2023-09-19,26762.5,26762.5,27483.57,27483.57,26667.79,26667.79,27210.26,27210.26,36190.52187,36190.52187
2023-09-18,26527.5,26527.5,27409.0,27409.0,26377.35,26377.35,26762.51,26762.51,43000.43256,43000.43256
2023-09-17,26559.67,26559.67,26623.25,26623.25,26399.0,26399.0,26527.51,26527.51,12998.10277,12998.10277
2023-09-16,26599.99,26599.99,26777.0,26777.0,26445.0,26445.0,26559.67,26559.67,13960.93351,13960.93351
2023-09-15,26522.73,26522.73,26888.0,26888.0,26224.0,26224.0,26600.0,26600.0,26227.29369,26227.29369
2023-09-14,26222.0,26222.0,26860.49,26860.49,26126.77,26126.77,26522.73,26522.73,38333.1725,38333.1725
2023-09-13,25840.1,25840.1,26405.22,26405.22,25764.17,25764.17,26222.0,26222.0,31610.82753,31610.82753
2023-09-12,25162.53,25162.53,26567.0,26567.0,25131.48,25131.48,25840.1,25840.1,56434.38537,56434.38537
2023-09-11,25841.6,25841.6,25900.69,25900.69,24901.0,24901.0,25162.52,25162.52,41682.32,41682.32
2023-09-10,25901.6,25901.6,26033.66,26033.66,25570.57,25570.57,25841.61,25841.61,18738.26914,18738.26914
2023-09-09,25910.5,25910.5,25945.09,25945.09,25796.64,25796.64,25901.61,25901.61,10980.62277,10980.62277
2023-09-08,26255.0,26255.0,26445.5,26445.5,25647.26,25647.26,25910.5,25910.5,28999.76471,28999.76471
2023-09-07,25759.95,25759.95,26443.14,26443.14,25615.38,25615.38,26255.0,26255.0,27687.49567,27687.49567
2023-09-06,25792.11,25792.11,26040.0,26040.0,25372.51,25372.51,25759.95,25759.95,27262.52386,27262.52386
2023-09-05,25826.03,25826.03,25915.49,25915.49,25562.62,25562.62,25792.1,25792.1,21323.39337,21323.39337
2023-09-04,25971.21,25971.21,26108.02,26108.02,25631.21,25631.21,25826.02,25826.02,21777.59609,21777.59609
2023-09-03,25869.52,25869.52,26135.0,26135.0,25800.0,25800.0,25971.21,25971.21,17474.47667,17474.47667
2023-09-02,25805.04,25805.04,25987.5,25987.5,25752.47,25752.47,25869.51,25869.51,16250.77698,16250.77698
2023-09-01,25940.77,25940.77,26156.0,26156.0,25333.75,25333.75,25805.05,25805.05,41032.15056,41032.15056
2023-08-31,27299.99,27299.99,27587.51,27587.51,25655.01,25655.01,25940.78,25940.78,51032.80401,51032.80401
2023-08-30,27716.34,27716.34,27768.57,27768.57,27017.24,27017.24,27299.99,27299.99,35448.25848,35448.25848
2023-08-29,26120.0,26120.0,28142.85,28142.85,25922.0,25922.0,27716.34,27716.34,74251.99488,74251.99488
2023-08-28,26101.78,26101.78,26253.99,26253.99,25864.5,25864.5,26120.0,26120.0,22692.62655,22692.62655
2023-08-27,26017.38,26017.38,26182.23,26182.23,25966.11,25966.11,26101.77,26101.77,12099.64216,12099.64216
2023-08-26,26060.0,26060.0,26125.77,26125.77,25985.92,25985.92,26017.37,26017.37,10022.22322,10022.22322
2023-08-25,26180.05,26180.05,26314.05,26314.05,25777.15,25777.15,26060.01,26060.01,27753.33772,27753.33772
2023-08-24,26432.71,26432.71,26577.87,26577.87,25864.0,25864.0,26180.05,26180.05,30205.22116,30205.22116
2023-08-23,26055.99,26055.99,26819.27,26819.27,25812.82,25812.82,26432.72,26432.72,44023.69978,44023.69978
2023-08-22,26126.92,26126.92,26139.42,26139.42,25300.0,25300.0,26056.0,26056.0,34247.06688,34247.06688
2023-08-21,26190.0,26190.0,26258.42,26258.42,25812.0,25812.0,26126.92,26126.92,30267.24233,30267.24233
2023-08-20,26100.01,26100.01,26299.0,26299.0,25971.05,25971.05,26189.99,26189.99,19056.91209,19056.91209
2023-08-19,26054.0,26054.0,26281.0,26281.0,25801.09,25801.09,26100.01,26100.01,26160.75343,26160.75343
2023-08-18,26623.41,26623.41,26832.6,26832.6,25619.0,25619.0,26054.0,26054.0,69790.65711,69790.65711
2023-08-17,28730.51,28730.51,28783.48,28783.48,25166.0,25166.0,26623.41,26623.41,100271.54033,100271.54033
2023-08-16,29200.01,29200.01,29259.85,29259.85,28723.08,28723.08,28730.51,28730.51,32996.69854,32996.69854
2023-08-15,29430.92,29430.92,29499.26,29499.26,29059.6,29059.6,29200.0,29200.0,27503.87691,27503.87691
2023-08-14,29303.85,29303.85,29695.32,29695.32,29102.45,29102.45,29430.93,29430.93,31443.11532,31443.11532
2023-08-13,29430.18,29430.18,29474.65,29474.65,29272.32,29272.32,29303.84,29303.84,11101.70947,11101.70947
2023-08-12,29426.02,29426.02,29481.35,29481.35,29381.56,29381.56,29430.17,29430.17,8971.48068,8971.48068
2023-08-11,29455.76,29455.76,29564.52,29564.52,29252.45,29252.45,29426.03,29426.03,20637.0443,20637.0443
2023-08-10,29581.99,29581.99,29738.0,29738.0,29320.2,29320.2,29455.75,29455.75,23463.45373,23463.45373
2023-08-09,29770.41,29770.41,30160.0,30160.0,29376.67,29376.67,29581.99,29581.99,38003.88725,38003.88725
2023-08-08,29211.06,29211.06,30244.0,30244.0,29146.45,29146.45,29770.42,29770.42,45700.53392,45700.53392
2023-08-07,29088.43,29088.43,29276.78,29276.78,28701.03,28701.03,29211.06,29211.06,30966.87746,30966.87746
2023-08-06,29072.13,29072.13,29205.09,29205.09,28991.88,28991.88,29088.42,29088.42,13178.1972,13178.1972
2023-08-05,29114.0,29114.0,29152.23,29152.23,28978.64,28978.64,29072.13,29072.13,11645.52018,11645.52018
2023-08-04,29193.65,29193.65,29333.08,29333.08,28807.54,28807.54,29113.99,29113.99,23551.95217,23551.95217
2023-08-03,29186.0,29186.0,29433.33,29433.33,28968.0,28968.0,29193.64,29193.64,26476.91994,26476.91994
2023-08-02,29705.99,29705.99,30047.5,30047.5,28927.5,28927.5,29186.01,29186.01,48181.65141,48181.65141
2023-08-01,29232.26,29232.26,29739.25,29739.25,28585.7,28585.7,29705.99,29705.99,44719.65162,44719.65162
2023-07-31,29281.09,29281.09,29530.0,29530.0,29101.8,29101.8,29232.25,29232.25,22605.48964,22605.48964
2023-07-30,29352.9,29352.9,29449.0,29449.0,29033.24,29033.24,29281.09,29281.09,15706.97441,15706.97441
2023-07-29,29314.14,29314.14,29406.92,29406.92,29256.18,29256.18,29352.9,29352.9,10851.36844,10851.36844
2023-07-28,29222.78,29222.78,29542.22,29542.22,29123.12,29123.12,29314.14,29314.14,23993.61627,23993.61627
2023-07-27,29351.95,29351.95,29567.49,29567.49,29083.85,29083.85,29222.78,29222.78,22476.47626,22476.47626
2023-07-26,29228.91,29228.91,29690.0,29690.0,29096.94,29096.94,29351.96,29351.96,33931.63366,33931.63366
2023-07-25,29176.5,29176.5,29376.0,29376.0,29047.65,29047.65,29228.91,29228.91,21565.7478,21565.7478
2023-07-24,30083.75,30083.75,30099.58,30099.58,28861.9,28861.9,29176.5,29176.5,39628.99691,39628.99691
2023-07-23,29793.99,29793.99,30350.0,30350.0,29730.0,29730.0,30083.75,30083.75,18292.78637,18292.78637
